ID	Account Name	Company	Parent Account	Disable	Account Number	Is Group	Root Type	Report Type	Currency	Account Category	Account Type	Tax Rate	Frozen	Balance must be	Old Parent	Include in gross
5212 - Round Off - JMIT	Round Off	JMIT	5200 - Indirect Expenses - JMIT	0	5212	0	Expense	Profit and Loss	PHP	Operating Expenses	Round Off	0	No		0
5213 - Salary - JMIT	Salary	JMIT	5200 - Indirect Expenses - JMIT	0	5213	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5214 - Sales Expenses - JMIT	Sales Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5214	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5215 - Telephone Expenses - JMIT	Telephone Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5215	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5216 - Travel Expenses - JMIT	Travel Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5216	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5217 - Utility Expenses - JMIT	Utility Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5217	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5218 - Write Off - JMIT	Write Off	JMIT	5200 - Indirect Expenses - JMIT	0	5218	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5219 - Exchange Gain/Loss - JMIT	Exchange Gain/Loss	JMIT	5200 - Indirect Expenses - JMIT	0	5219	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5220 - Interest Expense - JMIT	Interest Expense	JMIT	5200 - Indirect Expenses - JMIT	0	5220	0	Expense	Profit and Loss	PHP	Finance Costs		0	No		0
5221 - Bank Charges - JMIT	Bank Charges	JMIT	5200 - Indirect Expenses - JMIT	0	5221	0	Expense	Profit and Loss	PHP	Finance Costs		0	No		0
5222 - Gain/Loss on Asset Disposal - JMIT	Gain/Loss on Asset Disposal	JMIT	5200 - Indirect Expenses - JMIT	0	5222	0	Expense	Profit and Loss	PHP	Other Operating Income		0	No		0
5223 - Miscellaneous Expenses - JMIT	Miscellaneous Expenses	JMIT	5200 - Indirect Expenses - JMIT	0	5223	0	Expense	Profit and Loss	PHP	Operating Expenses	Chargeable	0	No		0
5224 - Impairment - JMIT	Impairment	JMIT	5200 - Indirect Expenses - JMIT	0	5224	0	Expense	Profit and Loss	PHP	Operating Expenses		0	No		0
5225 - Tax Expense - JMIT	Tax Expense	JMIT	5200 - Indirect Expenses - JMIT	0	5225	0	Expense	Profit and Loss	PHP	Tax Expense		0	No		0
